name,isDirect,isFixed
org.jboss.logging:jboss-logging,true,false
io.netty:netty-common,true,false
org.junit.jupiter:junit-jupiter-engine,true,true
org.springframework.boot:spring-boot,true,true
org.springframework.boot:spring-boot-autoconfigure,false,true
org.apache.logging.log4j:log4j-core,true,true
org.hibernate.validator:hibernate-validator,true,true
org.apache.logging.log4j:log4j-slf4j-impl,true,true
com.zaxxer:HikariCP,true,false
org.junit.vintage:junit-vintage-engine,true,true
org.apache.xmlbeans:xmlbeans,true,false
io.micrometer:micrometer-core,true,false
io.vertx:vertx-core,true,true
org.mybatis:mybatis,true,false
net.sourceforge.htmlunit:htmlunit,true,false
org.springframework.boot:spring-boot-actuator-autoconfigure,true,true
org.apache.mina:mina-core,false,true
org.apache.camel:camel-core,true,true
com.mchange:mchange-commons-java,true,false
redis.clients:jedis,true,false
org.apache.tika:tika-core,true,false
org.jgroups:jgroups,true,false
org.apache.logging.log4j:log4j-1.2-api,true,true
org.apache.camel:camel-base,true,true
org.elasticsearch:elasticsearch,true,false
org.apache.camel:camel-spring,true,true
org.apache.logging.log4j:log4j-jul,true,true
org.wso2.carbon:org.wso2.carbon.core,true,true
com.zaxxer:HikariCP-java7,true,false
org.wso2.carbon:org.wso2.carbon.utils,true,false
org.ops4j.pax.logging:pax-logging-log4j2,true,false
io.lettuce:lettuce-core,true,true
org.wso2.carbon:org.wso2.carbon.user.core,true,false
org.apache.logging.log4j:log4j-jcl,true,true
com.alibaba:druid,true,false
org.wso2.carbon:org.wso2.carbon.registry.core,true,false
org.wso2.carbon:org.wso2.carbon.base,true,true
org.wso2.carbon:javax.cache.wso2,true,false
io.zipkin.brave:brave,true,false
com.hazelcast:hazelcast,true,false
org.datanucleus:datanucleus-core,true,false
org.apache.camel:camel-test,true,true
org.apache.camel:camel-endpointdsl,false,false
org.infinispan:infinispan-core,true,false
org.apache.commons:commons-vfs2,true,false
org.apache.hbase:hbase-common,true,true
io.fabric8:kubernetes-client,true,true
org.elasticsearch.plugin:lang-mustache-client,true,true
org.infinispan:infinispan-commons,true,false
org.apache.logging.log4j:log4j-web,true,true
org.elasticsearch.plugin:parent-join-client,true,true
io.zipkin.brave:brave-instrumentation-http,true,false
org.jboss.resteasy:resteasy-core-spi,true,false
org.springframework.boot:spring-boot-devtools,true,true
org.jboss.resteasy:resteasy-core,true,true
org.apache.hbase:hbase-client,true,true
org.springframework.boot:spring-boot-starter-log4j2,true,false
org.apache.jena:jena-core,false,false
com.cedarsoftware:java-util,true,false
org.apache.camel:camel-componentdsl,false,false
org.apache.camel:camel-headersmap,true,true
com.baomidou:mybatis-plus,false,true
org.apache.jena:jena-arq,false,false
org.elasticsearch.plugin:rank-eval-client,true,true
org.apache.hive:hive-common,false,false
org.apache.hive:hive-serde,false,false
org.apache.hive:hive-storage-api,false,true
org.elasticsearch.client:elasticsearch-rest-high-level-client,false,true
org.apache.hive:hive-shims,false,false
org.apache.uima:uimaj-core,true,false
org.apache.hive:hive-metastore,false,false
org.apache.hive.shims:hive-shims-common,false,false
org.apache.hive.shims:hive-shims-0.23,false,false
org.apache.hbase:hbase-hadoop-compat,true,true
org.elasticsearch.plugin:aggs-matrix-stats-client,true,true
io.fabric8:openshift-client,true,true
org.apache.camel:camel-test-spring,true,true
org.springframework.amqp:spring-rabbit,true,false
org.apache.camel:camel-jackson,true,true
org.apache.jena:jena-base,true,false
org.apache.hive:hive-exec,false,false
org.clojure:tools.logging,true,true
org.apache.hive.shims:hive-shims-scheduler,false,false
org.apache.hbase:hbase-server,true,true
org.elasticsearch.plugin:transport-netty4-client,true,true
org.apache.flink:flink-core,true,false
org.apache.httpcomponents.core5:httpcore5,true,false
org.scalanlp:breeze_2.11,true,false
